x y ra dec
2008.4208 293.1005 246.9310760498047 -7.597562313079834
842.6125 290.6415 307.215087890625 -17.813669204711914
2328.5737 303.3855 229.251953125 -9.382868766784668
1333.589 293.2196 281.6805114746094 -10.125038146972656
1534.3937 295.2043 271.5308532714844 -8.323908805847168
1358.1663 307.6779 280.56842041015625 -9.052552223205566
1394.0629 315.3062 278.80181884765625 -8.243349075317383
1884.5831 314.1912 253.64878845214844 -6.153926849365234
1354.2327 321.4694 280.8801574707031 -8.275239944458008
883.3619 330.1247 305.252685546875 -14.781404495239258
1698.3883 325.7872 263.37445068359375 -5.744571685791016
1733.0868 334.8679 261.6580505371094 -5.086489677429199
2059.2063 348.4895 244.58018493652344 -4.692604064941406
1103.3669 338.0589 293.78021240234375 -10.56043815612793
1857.6727 348.1371 255.26510620117188 -4.222456455230713
2079.6045 367.8719 243.58651733398438 -3.6939897537231445
1030.1249 354.6449 297.69500732421875 -10.763587951660156
902.2148 364.1682 304.513427734375 -12.5448579788208
927.1523 354.8743 303.1073303222656 -12.617032051086426
1215.9996 355.9854 288.1695861816406 -7.939501762390137
1543.0818 355.8765 271.56298828125 -4.751181602478027
1342.5592 368.4789 281.8707275390625 -5.705073356628418
682.9191 363.9011 316.4866027832031 -17.232709884643555
1590.0066 362.8714 269.1989440917969 -4.081803321838379
1573.4811 371.0241 270.1205139160156 -3.6901655197143555
888.6892 364.2794 305.1658630371094 -12.75904369354248
1296.0206 375.4813 284.26513671875 -5.846218109130859
2194.1433 386.2135 237.40525817871094 -3.4301419258117676
1274.3765 381.8184 285.420166015625 -5.739023208618164
1346.4869 385.0161 281.79364013671875 -4.747829914093018
2100.4526 374.5827 242.46054077148438 -3.4667294025421143
1475.4309 396.7214 275.3287658691406 -2.897186040878296
1255.1357 400.7902 286.5622863769531 -4.882346153259277
1019.5269 403.3305 298.6568603515625 -8.227230072021484
1104.8406 399.7548 294.22271728515625 -7.027470588684082
615.3826 401.8575 320.56158447265625 -16.83455467224121
1186.1848 408.4715 290.1368408203125 -5.41586971282959
1791.3965 414.9847 259.1529235839844 -0.4451422095298767
1843.0027 406.7945 256.3843994140625 -0.8920649886131287
2483.4731 410.6377 220.7648468017578 -5.657443523406982
1263.6185 414.995 286.2402648925781 -4.031357288360596
1437.5266 418.8994 277.4206848144531 -1.9852313995361328
1274.8865 418.7361 285.72705078125 -3.699002981185913
2212.0173 419.1773 236.52354431152344 -1.804117202758789
1734.8044 430.4094 262.20703125 0.33057916164398193
844.8906 434.3598 308.0980224609375 -9.85364055633545
542.5696 440.2808 325.02227783203125 -16.662256240844727
2019.9 441.8195 247.14157104492188 0.6651663780212402
2050.8494 450.2643 245.5184783935547 1.0289244651794434
1914.4756 444.8607 252.85389709472656 1.2159972190856934
1107.8646 443.0484 294.4469299316406 -4.647518634796143
1564.9767 481.9751 271.3634033203125 2.5023183822631836
1960.1008 447.2771 250.42724609375 1.181099772453308
1794.9744 444.974 259.1321716308594 1.2105822563171387
1579.5963 459.1579 270.43829345703125 1.305107831954956
1604.0104 445.9846 269.0766906738281 0.6703555583953857
1360.5007 450.5002 281.6191101074219 -0.9616425037384033
1455.514 454.9064 276.8021240234375 0.19613249599933624
1404.3356 454.3531 279.3998107910156 -0.3094272315502167
2010.9958 464.3109 247.7286376953125 1.9844499826431274
778.1923 466.9479 311.91888427734375 -9.495687484741211
516.5662 465.3297 326.7595520019531 -16.12659454345703
1146.8802 466.1419 292.6659240722656 -2.788862466812134
1649.0114 477.823 266.9732360839844 2.707446336746216
1727.568 473.8023 262.83892822265625 2.724461555480957
1588.969 487.0007 270.16131591796875 2.9315855503082275
679.7251 475.1436 317.3983154296875 -11.37165641784668
2196.7776 490.4701 237.5730438232422 2.196622133255005
758.3742 485.3515 313.1633605957031 -8.983237266540527
737.9841 480.4851 314.2251281738281 -9.697515487670898
1200.1569 486.7368 290.148681640625 -0.8921680450439453
1123.9084 499.5122 294.1803283691406 -1.2865527868270874
1545.2844 495.4369 272.47503662109375 3.120276689529419
1674.1223 509.4442 265.86822509765625 4.566908836364746
1377.1165 501.4829 281.20806884765625 2.060072898864746
1752.9325 498.5202 261.628662109375 4.140341281890869
1541.7129 499.764 272.6678771972656 3.3242666721343994
1193.7146 499.3296 290.5896301269531 -0.25228166580200195
1493.619 506.6958 275.2169189453125 3.3771469593048096
1967.7764 502.7448 250.16119384765625 4.219815731048584
2292.7451 502.1744 232.15951538085938 1.8421599864959717
1593.9541 512.6686 270.0658264160156 4.368646144866943
1176.5914 515.0359 291.6295471191406 0.33857443928718567
2334.5151 509.4573 229.8274688720703 1.7666163444519043
1549.3469 510.7016 272.3910827636719 3.9933013916015625
1321.5958 520.4897 284.3191223144531 2.535374402999878
1288.0983 515.5005 285.88433837890625 1.8189250230789185
1107.7471 516.8867 295.18048095703125 -0.6212891936302185
1936.4756 518.9489 251.94346618652344 5.24683952331543
1216.0372 518.9017 289.6353759765625 1.085086703300476
2195.9336 532.3809 237.7037353515625 4.4775848388671875
2094.3779 528.3374 243.314208984375 5.021097660064697
2006.6187 528.8738 248.14865112304688 5.521220684051514
2404.7371 534.1804 225.7252960205078 2.0912721157073975
1242.4457 534.8154 288.42791748046875 2.293713331222534
1330.1658 549.8386 284.0548400878906 4.20352840423584
1631.0023 540.5892 268.30938720703125 6.101263999938965
792.572 546.5225 311.934326171875 -5.0276007652282715
968.0692 557.2725 302.82611083984375 -0.8214752674102783
1170.6223 546.7622 292.2541198730469 1.950523018836975
1059.741 560.9211 298.1181945800781 1.0056774616241455
999.8921 548.6793 301.0964660644531 -0.7090230584144592
771.7265 546.0367 313.0362243652344 -5.507044315338135
1190.5956 562.4422 291.3739929199219 3.1145949363708496
1046.9248 551.8625 298.6865539550781 0.27366000413894653
879.222 552.0104 307.4123229980469 -2.8854763507843018
2474.3306 552.0817 221.5624542236328 1.8929344415664673
2220.4844 554.0309 236.3477783203125 5.447323322296143
1926.9652 555.1196 252.5806427001953 7.24770450592041
2225.082 573.8206 236.06666564941406 6.425522327423096
1468.0677 561.3822 276.994873046875 6.194155693054199
1176.9529 562.9178 292.0866394042969 2.9300649166107178
959.1796 557.9575 303.3077697753906 -1.0092672109603882
1473.5114 566.7501 276.994873046875 6.194155693054199
719.6995 563.5566 316.0196228027344 -5.823050022125244
2045.7561 558.3818 246.0451202392578 6.948172569274902
1168.6082 565.4013 292.0866394042969 2.9300649166107178
849.4957 570.2296 309.1817932128906 -2.5499184131622314
1512.3098 574.6594 274.78985595703125 7.25976037979126
1429.0322 576.8892 279.1628723144531 6.672138690948486
1948.1849 580.8463 251.4578857421875 8.5825777053833
1895.1484 592.3018 254.41775512695312 9.375055313110352
1238.2412 582.1417 289.1292724609375 4.834819316864014
1728.5057 650.9472 263.7333679199219 12.560575485229492
2215.6045 589.7352 236.61141967773438 7.35323429107666
1772.6918 583.2913 260.99005126953125 8.852588653564453
1571.2078 594.6457 271.82647705078125 8.733797073364258
1484.1499 592.9324 276.41168212890625 8.032023429870605
1341.6884 592.118 283.8643493652344 6.615494728088379
1277.2623 596.2627 287.2496643066406 6.073389053344727
1724.5803 597.9152 263.6528625488281 9.586723327636719
848.5026 598.8093 309.58447265625 -1.1050783395767212
2117.124 596.4739 242.11700439453125 8.534324645996094
574.3757 596.8171 324.43768310546875 -7.854145526885986
1573.1149 608.8537 271.83758544921875 9.563663482666016
1912.3064 607.942 253.50209045410156 10.165440559387207
1800.0654 619.5046 259.65411376953125 10.864703178405762
1827.807 614.6191 258.1158447265625 10.58522891998291
1137.2283 620.4864 294.7984924316406 5.397781848907471
607.5239 624.7649 322.8896789550781 -5.571157455444336
1437.2482 620.4463 279.1159973144531 9.122797966003418
2121.0605 621.8458 241.90646362304688 9.891759872436523
850.5027 629.0212 309.8534851074219 0.4864925146102905
2009.7423 638.5717 248.15164184570312 11.488231658935547
1167.521 649.0843 293.5218200683594 7.379300117492676
1933.8945 666.2814 252.39447021484375 13.261198997497559
2256.6646 648.707 234.12313842773438 10.01044750213623
642.1958 648.8264 321.3206787109375 -3.5565876960754395
1862.4342 653.7379 256.34442138671875 12.740852355957031
2263.657 660.1682 233.70089721679688 10.537749290466309
1068.9774 661.0946 298.82818603515625 6.407928466796875
1508.8848 663.167 275.6471252441406 12.029647827148438
1099.0076 696.5492 297.69451904296875 8.867384910583496
599.1147 661.9041 323.8234558105469 -3.9832944869995117
1870.4688 669.8758 255.91380310058594 13.605426788330078
1822.2306 683.9341 258.66192626953125 14.3902587890625
1117.1592 668.8392 296.41632080078125 7.613160133361816
1940.5963 673.176 252.39447021484375 13.261198997497559
1873.605 679.2365 255.78274536132812 14.092092514038086
2486.6597 680.6425 220.41148376464844 8.161755561828613
1304.113 683.0712 286.7441711425781 11.071313858032227
2041.4808 689.0305 246.3538818359375 14.033413887023926
942.3978 686.4484 305.79461669921875 5.343077182769775
424.8767 689.5323 334.2082214355469 -7.783238887786865
1873.0359 687.6909 255.78274536132812 14.092092514038086
1034.0225 689.978 301.03460693359375 7.277935028076172
1082.9176 695.7888 298.561767578125 8.461647987365723
2230.6938 697.6011 235.44747924804688 12.847538948059082
1257.1643 704.3395 289.45416259765625 11.595393180847168
1248.2609 705.4599 289.45416259765625 11.595393180847168
1127.4628 722.5615 296.56488037109375 10.613268852233887
2163.3196 714.3456 239.31100463867188 14.414276123046875
1348.6642 720.9865 284.77386474609375 13.622532844543457
1701.1462 715.7001 265.49432373046875 15.952184677124023
1227.0347 719.1906 291.24078369140625 11.94292163848877
